Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
2016,Shikhar Dhawan,17,4,501,82,38.53,429,116.78,0,4,51,8,5,0,17,0,0,0,0,0,0,0,0
2015,Shikhar Dhawan,14,1,353,54,27.15,286,123.42,0,3,45,6,6,0,14,0,0,0,0,0,0,0,0
2014,Shikhar Dhawan,14,1,377,64,29,319,118.18,0,2,49,7,5,0,14,0,0,0,0,0,0,0,0
2013,Shikhar Dhawan,10,2,311,73,38.87,253,122.92,0,3,37,5,6,0,10,0,27,0,0,0,0,0,0
2010,Shikhar Dhawan,10,0,191,56,19.1,170,112.35,0,2,23,3,4,0,10,0,0,0,0,0,0,0,0
2009,Shikhar Dhawan,5,0,40,22,10,45,88.88,0,0,3,0,2,0,5,0,0,0,0,0,0,0,0
2008,Shikhar Dhawan,14,5,340,68,37.77,295,115.25,0,4,35,8,8,0,14,0,0,0,0,0,0,0,0
2023,Jitesh Sharma,14,1,309,49,23.77,198,156.06,0,0,22,21,3,2,14,0,0,0,0,0,0,0,0
2022,Jitesh Sharma,12,2,234,44,29.25,143,163.64,0,0,22,12,9,2,12,0,0,0,0,0,0,0,0
2022,Jonny Bairstow,11,0,253,66,23,175,144.57,0,2,34,9,2,0,11,0,0,0,0,0,0,0,0
2021,Jonny Bairstow,7,1,248,63,41.33,175,141.71,0,2,20,15,2,1,7,0,0,0,0,0,0,0,0
2020,Jonny Bairstow,11,0,345,97,31.36,272,126.83,0,3,31,13,7,1,11,0,0,0,0,0,0,0,0
2019,Jonny Bairstow,10,2,445,114,55.62,283,157.24,1,2,48,18,9,2,10,0,0,0,0,0,0,0,0
2023,Prabhsimran Singh,14,0,358,103,25.57,238,150.42,1,1,38,19,1,0,14,0,0,0,0,0,0,0,0
2022,Prabhsimran Singh,1,0,14,14,14,11,127.27,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
2021,Prabhsimran Singh,2,0,19,12,9.5,23,82.6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020,Prabhsimran Singh,2,0,15,11,7.5,15,100,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
2019,Prabhsimran Singh,1,0,16,16,16,17,94.11,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
2021,Liam Livingstone,5,0,42,25,8.4,41,102.43,0,0,3,1,3,0,5,0,0,0,0,0,0,0,0
2023,Harpreet Bhatia,3,0,76,41,25.33,59,128.81,0,0,8,3,1,0,3,0,0,0,0,0,0,0,0
2012,Harpreet Bhatia,1,0,6,6,6,6,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,Harpreet Bhatia,2,1,14,13,14,20,70,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
2010,Harpreet Bhatia,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,Rilee Rossouw,9,2,209,82,29.86,141,148.23,0,1,17,11,3,0,9,0,0,0,0,0,0,0,0
2015,Rilee Rossouw,2,0,14,14,7,10,140,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0
2014,Rilee Rossouw,3,0,39,24,13,41,95.12,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0
2023,Atharva Taide,7,0,186,66,26.57,129,144.19,0,2,20,6,5,0,7,0,0,0,0,0,0,0,0
2023,Sanju Samson,14,2,362,66,30.17,236,153.39,0,3,25,24,3,3,14,0,0,0,0,0,0,0,0
2022,Sanju Samson,17,1,458,55,28.63,312,146.79,0,2,43,26,14,2,17,0,0,0,0,0,0,0,0
2021,Sanju Samson,14,2,484,119,40.33,354,136.72,1,2,45,17,7,4,14,0,0,0,0,0,0,0,0
2020,Sanju Samson,14,1,375,85,28.84,236,158.89,0,3,21,26,9,2,14,0,0,0,0,0,0,0,0
2019,Sanju Samson,12,2,342,102,34.2,230,148.69,1,0,28,13,4,1,12,0,0,0,0,0,0,0,0
2018,Sanju Samson,15,1,441,92,31.5,320,137.81,0,3,30,19,5,0,15,0,0,0,0,0,0,0,0
2017,Sanju Samson,14,0,386,102,27.57,273,141.39,1,2,32,19,4,0,14,0,0,0,0,0,0,0,0
2016,Sanju Samson,14,3,291,60,26.45,259,112.35,0,1,20,8,3,1,14,0,0,0,0,0,0,0,0
2015,Sanju Samson,14,1,204,76,20.4,163,125.15,0,1,16,8,9,0,14,0,0,0,0,0,0,0,0
2014,Sanju Samson,13,0,339,74,26.07,273,124.17,0,2,25,17,5,2,13,0,0,0,0,0,0,0,0
2013,Sanju Samson,11,2,206,63,25.75,178,115.73,0,1,19,5,13,0,11,0,0,0,0,0,0,0,0
2023,Jos Buttler,14,0,392,95,28,282,139.01,0,4,42,14,9,0,14,0,0,0,0,0,0,0,0
2022,Jos Buttler,17,2,863,116,57.53,579,149.05,4,4,83,45,9,0,17,0,0,0,0,0,0,0,0
2021,Jos Buttler,7,0,254,124,36.28,166,153.01,1,0,27,13,3,0,7,0,0,0,0,0,0,0,0
2020,Jos Buttler,13,2,328,70,32.8,227,144.49,0,2,27,16,6,0,13,0,0,0,0,0,0,0,0
2019,Jos Buttler,8,0,311,89,38.87,205,151.7,0,3,38,14,8,0,8,0,0,0,0,0,0,0,0
2018,Jos Buttler,13,3,548,95,54.8,353,155.24,0,5,52,21,9,1,13,0,0,0,0,0,0,0,0
2017,Jos Buttler,10,0,272,77,27.2,177,153.67,0,1,27,15,1,0,10,0,0,0,0,0,0,0,0
2016,Jos Buttler,14,3,255,41,23.18,184,138.58,0,0,23,11,7,0,14,0,0,0,0,0,0,0,0
2023,Shimron Hetmyer,14,5,300,56,37.5,197,152.28,0,1,12,23,11,0,14,0,0,0,0,0,0,0,0
2022,Shimron Hetmyer,15,8,314,59,44.86,204,153.92,0,1,21,21,3,0,15,0,0,0,0,0,0,0,0
2021,Shimron Hetmyer,14,6,242,53,34.57,144,168.05,0,1,19,12,4,0,14,0,0,0,0,0,0,0,0
2020,Shimron Hetmyer,12,3,185,45,23.12,125,148,0,0,11,12,7,0,12,0,0,0,0,0,0,0,0
2019,Shimron Hetmyer,5,0,90,75,18,73,123.28,0,1,4,7,3,0,5,0,0,0,0,0,0,0,0
2023,Yashasvi Jaiswal,14,1,625,124,48.08,382,163.61,1,5,82,26,8,0,14,0,0,0,0,0,0,0,0
2021,Yashasvi Jaiswal,10,0,249,50,24.9,168,148.21,0,1,32,10,3,0,10,0,0,0,0,0,0,0,0
2020,Yashasvi Jaiswal,3,0,40,34,13.33,44,90.9,0,0,2,2,1,0,3,0,0,0,0,0,0,0,0
2023,Dhruv Jurel,13,4,152,34,21.71,88,172.73,0,0,11,9,1,0,13,0,0,0,0,0,0,0,0
2023,Riyan Parag,7,1,78,20,13,66,118.18,0,0,4,5,1,0,7,0,0,0,0,0,0,0,0
2023,Faf du Plessis,14,1,730,84,56.15,475,153.68,0,8,60,36,3,0,14,0,0,0,0,0,0,0,0
2022,Faf du Plessis,16,1,468,96,31.2,367,127.52,0,3,49,13,4,0,16,0,0,0,0,0,0,0,0
2021,Faf du Plessis,16,2,633,95,45.21,458,138.2,0,6,60,23,12,0,16,0,0,0,0,0,0,0,0
2020,Faf du Plessis,13,2,449,87,40.81,319,140.75,0,4,42,14,12,0,13,0,0,0,0,0,0,0,0
2019,Faf du Plessis,12,1,396,96,36,321,123.36,0,3,36,15,12,0,12,0,0,0,0,0,0,0,0
2018,Faf du Plessis,6,1,162,67,32.4,129,125.58,0,1,17,6,1,0,6,0,0,0,0,0,0,0,0
2017,Faf du Plessis,2,0,8,8,8,7,114.28,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
2016,Faf du Plessis,6,0,206,69,34.33,162,127.16,0,2,17,9,4,0,6,0,0,0,0,0,0,0,0
2015,Faf du Plessis,17,2,380,55,29.23,304,125,0,1,37,5,8,0,17,0,0,0,0,0,0,0,0
2014,Faf du Plessis,15,1,303,54,27.54,235,128.93,0,2,26,7,13,0,15,0,0,0,0,0,0,0,0
2022,Rajat Patidar,8,1,333,112,55.5,218,152.75,1,2,27,18,4,0,8,0,0,0,0,0,0,0,0
2021,Rajat Patidar,4,0,71,31,17.75,62,114.51,0,0,3,3,1,0,4,0,0,0,0,0,0,0,0
2023,Virat Kohli,14,2,639,101,53.25,457,139.82,2,6,65,16,13,0,14,0,0,0,0,0,0,0,0
2022,Virat Kohli,16,1,341,73,22.73,294,115.99,0,2,32,8,9,0,16,0,0,0,0,0,0,0,0
2021,Virat Kohli,15,1,405,72,28.92,339,119.46,0,3,43,9,8,0,15,0,0,0,0,0,0,0,0
2020,Virat Kohli,15,4,466,90,42.36,384,121.35,0,3,23,11,3,0,15,0,0,0,0,0,0,0,0
2019,Virat Kohli,14,0,464,100,33.14,328,141.46,1,2,46,13,5,0,14,0,0,0,0,0,0,0,0
2018,Virat Kohli,14,3,530,92,48.18,381,139.1,0,4,52,18,8,0,14,0,0,0,0,0,0,0,0
2017,Virat Kohli,10,0,308,64,30.8,252,122.22,0,4,23,11,6,0,10,0,0,0,0,0,0,0,0
2014,Virat Kohli,14,1,359,73,27.61,294,122.1,0,2,23,16,7,0,14,0,0,0,0,0,0,0,0
2013,Virat Kohli,16,2,634,99,45.28,457,138.73,0,6,64,22,7,0,16,0,0,0,0,0,0,0,0
2023,Anuj Rawat,9,4,91,29,30.33,71,128.17,0,0,6,4,3,0,9,0,0,0,0,0,0,0,0
2022,Anuj Rawat,8,0,129,66,16.13,118,109.32,0,1,10,7,6,0,8,0,0,0,0,0,0,0,0
2021,Anuj Rawat,2,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
2023,Dinesh Karthik,13,1,140,30,11.67,104,134.62,0,0,13,5,8,2,13,0,0,0,0,0,0,0,0
2022,Dinesh Karthik,16,10,330,66,55,180,183.33,0,1,27,22,10,2,16,0,0,0,0,0,0,0,0
2021,Dinesh Karthik,17,5,223,40,22.3,170,131.17,0,0,22,7,5,2,17,0,0,0,0,0,0,0,0
2020,Dinesh Karthik,14,2,169,58,14.08,134,126.11,0,1,20,4,9,0,14,0,0,0,0,0,0,0,0
2019,Dinesh Karthik,14,5,253,97,31.62,173,146.24,0,2,22,14,7,0,14,0,0,0,0,0,0,0,0
2018,Dinesh Karthik,16,6,498,52,49.8,337,147.77,0,2,49,16,14,4,16,0,0,0,0,0,0,0,0
2017,Dinesh Karthik,14,3,361,65,36.1,259,139.38,0,2,30,11,8,0,14,0,0,0,0,0,0,0,0
2016,Dinesh Karthik,16,2,335,53,25.76,266,125.93,0,3,38,3,11,3,16,0,0,0,0,0,0,0,0
2015,Dinesh Karthik,16,0,141,28,12.81,117,120.51,0,0,15,4,14,4,16,0,0,0,0,0,0,0,0
2014,Dinesh Karthik,14,0,325,69,23.21,258,125.96,0,3,28,11,7,2,14,0,0,0,0,0,0,0,0
2013,Dinesh Karthik,19,1,510,86,28.33,411,124.08,0,2,54,14,12,2,19,0,0,0,0,0,0,0,0
2012,Dinesh Karthik,17,1,238,44,18.3,213,111.73,0,0,30,2,5,2,17,0,0,0,0,0,0,0,0
2011,Dinesh Karthik,14,2,282,69,25.63,220,128.18,0,1,32,7,7,0,14,0,0,0,0,0,0,0,0
2010,Dinesh Karthik,14,1,278,69,21.38,237,117.29,0,1,26,6,6,6,14,0,0,0,0,0,0,0,0
2009,Dinesh Karthik,15,5,288,52,36,217,132.72,0,1,20,9,12,5,15,0,0,0,0,0,0,0,0
2008,Dinesh Karthik,13,2,145,56,24.16,107,135.51,0,1,13,4,6,2,13,0,0,0,0,0,0,0,0
2023,Suyash S Prabhudessai,5,0,35,19,8.75,29,120.69,0,0,1,2,5,0,5,0,0,0,0,0,0,0,0
2022,Suyash S Prabhudessai,5,0,67,34,13.4,59,113.56,0,0,7,2,5,0,5,0,0,0,0,0,0,0,0
2020,Mahipal Lomror,3,0,59,47,19.66,54,109.25,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0
2019,Mahipal Lomror,2,0,8,8,8,3,266.66,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
2009,Karn Sharma,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Abdul Samad,9,4,169,37,42.25,128,132.03,0,0,10,11,4,0,9,0,0,0,0,0,0,0,0
2023,Rahul Tripathi,13,1,273,74,22.75,213,128.17,0,1,29,10,2,0,13,0,0,0,0,0,0,0,0
2022,Rahul Tripathi,14,3,413,76,37.55,261,158.24,0,3,40,20,6,0,14,0,0,0,0,0,0,0,0
2021,Rahul Tripathi,17,2,397,74,28.35,283,140.28,0,2,41,11,8,0,17,0,0,0,0,0,0,0,0
2020,Rahul Tripathi,11,1,230,81,23,181,127.07,0,1,21,10,3,0,11,0,0,0,0,0,0,0,0
2019,Rahul Tripathi,8,1,141,50,23.5,118,119.49,0,1,13,2,3,0,8,0,0,0,0,0,0,0,0
2018,Rahul Tripathi,12,3,226,80,25.11,167,135.32,0,1,18,8,4,0,12,0,0,0,0,0,0,0,0
2023,Mayank Agarwal,10,0,270,83,27,210,128.57,0,1,29,6,6,0,10,0,0,0,0,0,0,0,0
2022,Mayank Agarwal,13,0,196,52,16.33,160,122.5,0,1,23,6,10,0,13,0,0,0,0,0,0,0,0
2021,Mayank Agarwal,12,1,441,99,40.09,314,140.44,0,4,42,18,5,0,12,0,0,0,0,0,0,0,0
2020,Mayank Agarwal,11,0,424,106,38.54,271,156.45,1,2,44,15,6,0,11,0,0,0,0,0,0,0,0
2019,Mayank Agarwal,13,0,332,58,25.53,234,141.88,0,2,26,14,7,0,13,0,0,0,0,0,0,0,0
2018,Mayank Agarwal,11,1,120,30,12,94,127.65,0,0,9,5,2,0,11,0,0,0,0,0,0,0,0
2017,Mayank Agarwal,3,0,26,20,8.66,27,96.29,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0
2016,Mayank Agarwal,3,0,27,10,9,25,108,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0
2015,Mayank Agarwal,10,1,213,68,23.66,177,120.33,0,2,23,7,3,0,10,0,0,0,0,0,0,0,0
2014,Mayank Agarwal,8,0,115,31,14.37,91,126.37,0,0,12,3,1,0,8,0,0,0,0,0,0,0,0
2013,Mayank Agarwal,5,0,67,29,13.4,62,108.06,0,0,6,3,3,0,5,0,0,0,0,0,0,0,0
2012,Mayank Agarwal,16,1,225,64,20.45,158,142.4,0,1,19,15,9,0,16,0,0,0,0,0,0,0,0
2011,Mayank Agarwal,8,0,141,41,20.14,120,117.5,0,0,16,4,3,0,8,0,0,0,0,0,0,0,0
2023,Anmolpreet Singh,4,0,105,36,26.25,82,128.05,0,0,15,2,1,0,4,0,0,0,0,0,0,0,0
2022,Anmolpreet Singh,2,0,13,8,6.5,13,100,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
2021,Anmolpreet Singh,1,0,16,16,16,14,114.28,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
2023,Heinrich Klaasen,12,2,448,104,49.78,253,177.08,1,2,32,25,3,1,12,0,0,0,0,0,0,0,0
2019,Heinrich Klaasen,3,0,9,6,4.5,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Heinrich Klaasen,4,1,57,32,19,47,121.27,0,0,5,1,3,4,4,0,0,0,0,0,0,0,0
2016,Travis Head,3,1,54,37,27,40,135,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0
2018,Abhishek Sharma,3,2,63,46,63,33,190.9,0,0,3,5,1,0,3,0,0,0,0,0,0,0,0
2023,Sanvir Singh,2,1,11,7,11,9,122.22,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
